arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
22065460,77201793,1,14010928,2014-07-22 00:00:00,3,N,28,5,33,M,1,2,R,,,,,
22086214,77261831,1,14-93521-AR,2014-12-11 00:00:00,3,N,28,5,22,M,1,2,R,,,,,
22056439,77167076,1,14-851-AR,2014-10-27 00:00:00,2,N,16,5,16,M,1,2,R,R,,,,
22054338,77161535,1,14-476-AR,2014-06-04 00:00:00,2,N,16,5,28,F,1,2,N,,,,,
22054227,77158762,3,14-45-AR,2014-11-24 00:00:00,2,N,16,5,17,M,1,2,N,R,,,,
22040850,77119333,3,14E-103-AR,2014-05-01 00:00:00,2,N,16,5,38,M,1,2,N,,,,,
22040849,77119333,2,14E-102-AR,2014-05-01 00:00:00,2,N,16,5,18,M,1,2,N,,,,,
22040848,77119333,1,14E-101-AR,2014-05-01 00:00:00,2,N,16,5,25,F,1,2,N,,,,,
22040834,77119289,1,14-67-AR,2014-05-03 00:00:00,2,N,16,5,31,M,1,2,N,,,,,
22040818,77118432,1,14-41-AR,2014-03-16 00:00:00,2,N,16,5,28,M,1,2,N,,,,,
22040816,77118429,3,14-188-AR,2014-11-21 00:00:00,2,N,16,5,25,F,1,2,N,,,,,
21354479,75090185,1,15-27-AR,2015-01-08 00:00:00,3,N,28,5,17,M,1,2,R,R,,,,
21340997,75051469,1,15-41-AR,2015-02-16 00:00:00,3,N,28,5,16,M,1,2,R,R,,,,
21339929,75048828,3,14-93-AR,2014-06-12 00:00:00,3,N,28,5,48,M,1,2,R,,,,,
21339928,75048828,2,14-92-AR,2014-06-12 00:00:00,3,N,28,5,29,M,1,2,N,,,,,
21354443,75089320,2,15-60-AR,2015-01-22 00:00:00,3,N,28,5,36,F,1,2,N,,,,,
21354416,75089270,1,14-712-AR,2014-10-24 00:00:00,3,N,28,5,23,M,1,2,N,,,,,
21340989,75051437,1,14-274-AR,2014-11-14 00:00:00,3,M,28,5,28,M,1,2,R,,,,,
21340988,75051436,1,14-274-AR,2014-11-14 00:00:00,3,M,28,5,28,M,1,2,R,,,,,
21340987,75051430,1,14-274-AR,2014-11-14 00:00:00,3,M,28,5,28,M,1,2,R,,,,,
21340984,75051425,1,14-274-AR,2014-11-14 00:00:00,3,N,28,5,28,M,1,2,R,,,,,
21339913,75048031,1,14-107-AR,2014-06-23 00:00:00,3,N,28,5,38,M,1,2,N,,,,,
21338845,75044499,1,14HKS-448-AR,2014-09-18 00:00:00,3,N,28,5,47,M,1,2,R,,,,,
21338789,75043587,1,14HKS-180-AR,2014-05-01 00:00:00,3,N,28,5,18,M,1,2,N,,,,,
21353331,75085825,1,14-809-AR,2014-09-04 00:00:00,3,N,28,5,21,M,1,2,N,,,,,
21352268,75083222,1,14-201-AR,2014-04-27 00:00:00,3,N,28,5,23,M,1,2,R,,,,,
22046389,77137530,1,14LIT-3111-A,2014-04-16 00:00:00,1,N,27,5,41,M,1,2,R,,,,,
22055265,77165149,1,14-1017-AR,2014-12-30 00:00:00,3,N,28,5,32,M,1,2,R,,,,,
22051001,77149566,1,14-526-AR,2014-11-21 00:00:00,3,N,28,5,17,F,1,2,N,H,,,,
22050946,77147780,1,14-56-AR,2014-05-04 00:00:00,3,N,28,5,18,M,1,2,N,,,,,
22064336,77197336,1,14009462,2014-07-02 00:00:00,3,N,28,5,23,F,1,2,R,,,,,
22064224,77194643,1,14008569,2014-06-10 00:00:00,3,N,28,5,20,M,1,2,N,,,,,
